Material,Lay-up,"Vf, %",Resin Type,Resin,0 Deg fabric name,45 Deg fabric name,45 Deg fabric %,90 Deg fabric name,90 Deg fabric %,other %,"Thickness, mm",Cure / Post Cure,Process,Test #,Coupon,"Max. Stress, MPa","Min. Stress, MPa",R-value,"Freq., Hz or mm/s","E, GPa (0.1-0.3%)",Max. % Strain,Cycles,"Moisture Gain, %",Contractor report,Conference Paper
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5874,DD5P926,-20.7,-207.0,10.0,5.0,,,173669.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5875,DD5P929,-20.7,-207.0,10.0,5.0,,,482504.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5876,DD5P924,-27.6,-276.0,10.0,4.0,,,98038.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5877,DD5P931,-27.6,-276.0,10.0,5.0,,,74728.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5878,DD5P925,-27.6,-276.0,10.0,5.0,,,49636.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5879,DD5P923,,-508.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5880,DD5P922,,-488.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5881,DD5P927,,-500.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5900,DD5P963,-16.5,-165.0,10.0,8.0,,,1109352.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5882,DD5P928,-37.9,-379.0,10.0,5.0,,,48127.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5883,DD5P932,-34.5,-345.0,10.0,5.0,,,164214.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5884,DD5P933,-34.5,-345.0,10.0,5.0,,,288708.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5885,DD5P945,-34.5,-345.0,10.0,10.0,,,198403.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5898,DD5P940,,-651.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5886,DD5P944,,-578.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5887,DD5P937,,-661.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,5892,DD5P936,,-632.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5888,DD5P957W,,-523.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5889,DD5P956W,,-542.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5890,DD5P955W,,-539.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5891,DD5P964W,,-527.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5893,DD5P963W,-27.6,-276.0,10.0,5.0,,,333063.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5894,DD5P958W,-31.0,-310.0,10.0,3.0,,,16432.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5895,DD5P959W,-27.6,-276.0,10.0,5.0,,,836080.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5896,DD5P960W,-31.0,-310.0,10.0,3.0,,,27564.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5897,DD5P961W,-31.0,-310.0,10.0,3.0,,,22185.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,5899,DD5P962W,-27.6,-276.0,10.0,5.0,,,637232.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,38.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,2.95,"24h/20C, 2h/60C",RTM,6046,DD5P963W,-24.1,-241.0,10.0,8.0,,,2680397.0,,R4,C13
